comuna,region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,Número de habitantes
Cochrane,Región de Aysén del Gral.Ibañez del Campo,6.986406587969783,6.900670214691165,7.50424950739646,7.4350629916320505,1.343652171784256,0.2792351243230993,1.1968086316431596,0.9309587496680808,3490
Navidad,Región del Libertador Bernardo O'Higgins,7.5112279424894615,6.26410158335981,7.214699197051368,6.422877889584687,0.036528912368281624,0.017016534259077804,0.028287888638257853,0.017812583080301272,6641
Purén,Región de La Araucanía,15.639138014204555,11.5702891839677,16.952051696632008,13.21529495743053,0.7575442330727827,0.16916477533747856,0.3854851337127809,0.22238401940864228,11779
San Pablo,Región de Los Lagos,42.08537850133365,15.056042953723026,18.18813304057808,28.888651107715827,1.7633859167983774,0.5130724907785209,0.5641839659690943,1.855075201738163,10030
Codegua,Región del Libertador Bernardo O'Higgins,5.8774992343165895,8.746341537291261,8.810774676057777,8.808941720104587,0.1634505824530295,0.1709477863081652,0.1709477863081652,0.17337462524496444,12988
Talca,Región del Maule,33.37555174788209,19.003817173572724,21.53717905247615,19.486532639103842,1.195368753268495,0.08813266933641667,0.1265479998743784,0.10061581545578444,220357
Empedrado,Región del Maule,9.095875462458228,8.288467976446992,10.328388381293172,8.630126854547715,0.09223399532003432,0.04304252193652957,0.10382189470719752,0.049211188194461956,4142
Lo Barnechea,Región Metropolitana de Santiago,2.4146152614264853,3.7210791668674603,3.7546959514855502,3.7295073107406087,0.3314806278888883,0.6204928287349686,0.6204928287349686,0.6204928287349686,105833
Quemchi,Región de Los Lagos,17.881876201703257,11.743126866874807,15.322489046843854,14.52870564185035,0.7867134407740253,0.165925025202311,0.8378180291439021,0.607196907589337,8352
Pudahuel,Región Metropolitana de Santiago,22.355026993233157,24.545713142361365,24.65616857075299,24.572408059087333,0.5069874743688196,0.6209797919380912,0.6209797919380912,0.6209797919380912,230293
Peralillo,Región del Libertador Bernardo O'Higgins,10.494865792499022,6.734022218537865,8.264248719722657,6.968525804055558,0.07554591372376773,0.05308994950107194,0.07943641241766264,0.05564145148718149,11007
Chillán,Región de Ñuble,47.52924609371484,26.245711558629445,29.746091792571864,26.487138391126116,6.193044521748873,1.6429519079377641,1.808174031079649,1.6432776757865122,184739
Alto Biobío,Región del Bío-Bío,4.216539079364576,4.130198064593981,4.518868134681527,4.205914940382908,0.19504474366297248,0.031691211209984506,0.06019477271013333,0.036972444512512866,5923
Pichidegua,Región del Libertador Bernardo O'Higgins,11.127462507312389,7.383589074685955,8.531121777026533,7.607659612611087,0.17893675586644506,0.07873341601625752,0.1054614181501399,0.08226615291505507,19714
Cunco,Región de La Araucanía,9.57306432171486,8.737714388469769,13.242960976099527,10.11332366008115,1.542695058699845,1.258922013870415,2.941347971955231,1.7117067714691994,17526
Queilén,Región de Los Lagos,16.161201913654807,11.705372519169767,14.505709642025321,13.775874369480146,0.39392590777979475,0.08512977353353451,0.42979005543781695,0.3114888808006636,5385
